country,sector,year,value
US,Residential,2018,2.64
US,Residential,2019,605.44
US,Residential,2020,556.21
US,Residential,2021,563.49
US,Residential,2022,603.88
US,Residential,2023,257.66
WORLD,Domestic aviation,2018,0.84
WORLD,Domestic aviation,2019,363.74
WORLD,Domestic aviation,2020,251.42
WORLD,Domestic aviation,2021,316.08
WORLD,Domestic aviation,2022,313.05
WORLD,Domestic aviation,2023,141.46
WORLD,Ground transport,2018,14.16
WORLD,Ground transport,2019,6508.33
WORLD,Ground transport,2020,5796.88
WORLD,Ground transport,2021,6307.96
WORLD,Ground transport,2022,6467.25
WORLD,Ground transport,2023,2732.93
WORLD,Industry,2018,25.45
WORLD,Industry,2019,10747.98
WORLD,Industry,2020,10475.09
WORLD,Industry,2021,10985.50
WORLD,Industry,2022,11118.86
WORLD,Industry,2023,4528.09
WORLD,International aviation,2018,1.49
WORLD,International aviation,2019,632.72
WORLD,International aviation,2020,277.14
WORLD,International aviation,2021,327.91
WORLD,International aviation,2022,473.01
WORLD,International aviation,2023,216.17
WORLD,Power,2018,36.83
WORLD,Power,2019,13526.09
WORLD,Power,2020,13140.00
WORLD,Power,2021,14045.70
WORLD,Power,2022,14191.67
WORLD,Power,2023,5671.95
WORLD,Residential,2018,18.38
WORLD,Residential,2019,3567.80
WORLD,Residential,2020,3512.78
WORLD,Residential,2021,3521.26
WORLD,Residential,2022,3557.23
WORLD,Residential,2023,1726.43
